Topic,Property,More Resources/Practice,Parent item,Practice,Progress,Resources,Sub-item
Use Cases,No,Introduction_to_Use_Cases.pdf,Module 2 -- Oct 1-14 -- Design Principles (Module%202%20--%20Oct%201-14%20--%20Design%20Principles%2026be7be659d980fea17ce010271854ea.csv),https://q.utoronto.ca/courses/394773/pages/m2-use-cases,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/08-program-specification.md#82-use-cases

https://q.utoronto.ca/courses/394773/pages/how-to-implement-a-use-case",
10-introduction-to-layered-architectures.md,No,,Module 3 -- Oct 15-Nov 4 -- Clean Architecture (Module%203%20--%20Oct%2015-Nov%204%20--%20Clean%20Architecture%2026be7be659d980b0aaf7c9535063f6f0.csv),,New,https://github.com/CSC207-UofT/207-course-notes/blob/master/10-introduction-to-layered-architectures.md,
11-clean-architecture.md,No,"screencapture-q-utoronto-ca-courses-394773-quizzes-483173-history-2025-12-17-15_16_54.pdf, CleanArchitectureDiagram_(2).png",Module 3 -- Oct 15-Nov 4 -- Clean Architecture (Module%203%20--%20Oct%2015-Nov%204%20--%20Clean%20Architecture%2026be7be659d980b0aaf7c9535063f6f0.csv),,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/11-clean-architecture.md

https://github.com/CSC207-2025F-UofT/ca-user-login

https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html

https://youtu.be/Nsjsiz2A9mg?si=jb_vQna71ErLUmCv",
"RATs, Clean Architecture and Use Case Interactors Activities",No,screencapture-q-utoronto-ca-courses-394773-quizzes-482244-history-2025-12-17-15_20_52.pdf,Module 3 -- Oct 15-Nov 4 -- Clean Architecture (Module%203%20--%20Oct%2015-Nov%204%20--%20Clean%20Architecture%2026be7be659d980b0aaf7c9535063f6f0.csv),https://q.utoronto.ca/courses/394773/pages/m3-clean-architecture-part-1 | https://q.utoronto.ca/courses/394773/pages/m3-use-case-interactors,New,,
Building the CA Engine,No,,Module 3 -- Oct 15-Nov 4 -- Clean Architecture (Module%203%20--%20Oct%2015-Nov%204%20--%20Clean%20Architecture%2026be7be659d980b0aaf7c9535063f6f0.csv),https://q.utoronto.ca/courses/394773/pages/m3-building-the-ca-engine,New,,
Unit Test for a Use Case Interactor,No,testing_use_cases.pdf,Module 3 -- Oct 15-Nov 4 -- Clean Architecture (Module%203%20--%20Oct%2015-Nov%204%20--%20Clean%20Architecture%2026be7be659d980b0aaf7c9535063f6f0.csv),,New,"https://github.com/CSC207-2025F-UofT/ca-lab (/w examples of testing use cases)
    ◦ https://github.com/CSC207-2025F-UofT/ca-lab/blob/main/src/test/java/use_case/login/LoginInteractorTest.java",
12-design-patterns.md,No,"DesignPatterns.pdf, screencapture-q-utoronto-ca-courses-394773-quizzes-485098-history-2025-12-17-15_57_09.pdf, screencapture-q-utoronto-ca-courses-394773-quizzes-484945-history-2025-12-17-16_06_32.pdf",Module 4 -- Nov 5-18 -- Design Patterns (Module%204%20--%20Nov%205-18%20--%20Design%20Patterns%2026be7be659d980ee9ba1ff749a329e87.csv),,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/12-design-patterns.md

https://github.com/CSC207-UofT/207-course-notes/tree/master/code/design_patterns

https://q.utoronto.ca/courses/394773/pages/m4-builder-examples

https://refactoring.guru/design-patterns

https://sourcemaking.com/design_patterns",
13-refactoring-techniques.md,No,Refactoring_and_Anti-Patterns.pdf,Module 4 -- Nov 5-18 -- Design Patterns (Module%204%20--%20Nov%205-18%20--%20Design%20Patterns%2026be7be659d980ee9ba1ff749a329e87.csv),https://github.com/christinecheng1229/M4-refactoring (task 3 onwards),New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/13-refactoring-techniques.md

https://www.thoughtworks.com/content/dam/thoughtworks/documents/books/bk_Refactoring2-free-chapter_en.pdf",
Design Patterns 1,No,,Module 4 -- Nov 5-18 -- Design Patterns (Module%204%20--%20Nov%205-18%20--%20Design%20Patterns%2026be7be659d980ee9ba1ff749a329e87.csv),https://q.utoronto.ca/courses/394773/pages/m4-design-patterns-1,New,,
Refactoring the Observer Anti-Pattern,No,,Module 4 -- Nov 5-18 -- Design Patterns (Module%204%20--%20Nov%205-18%20--%20Design%20Patterns%2026be7be659d980ee9ba1ff749a329e87.csv),https://q.utoronto.ca/courses/394773/pages/m4-refactoring-the-observer-anti-pattern,New,"https://github.com/CSC207-UofT/207-course-notes/tree/master/code/design_patterns/behavioural/observer

https://refactoring.guru/refactoring/techniques

https://refactoring.guru/refactoring/smells",
